,repo_name,repo_lang
0,14-Mini-Projetos-JS,JavaScript
1,Arthur-San,
2,Desenvolvimento-de-Aplicativos-I,Java
3,Desenvolvimento-de-Aplicativos-II,Dart
4,Desenvolvimento-de-sistemas-web-I,JavaScript
5,Desenvolvimento-de-sistemas-web-II,PHP
6,Desenvolvimento-de-sistemas-web-III,Java
7,JavaPOO,Java
8,JornadaBank,Java
9,ProjetoSistemaBancario,
10,psc_java,Java
11,Python-Automacao_I,Python
12,Python-Automacao_III-Selenium,Python
13,Python-I,Python
14,Python-III_POO,Python
15,Python-II_Modulos-e-PIP,Python
16,Python-IV_Manipulando_Arquivos,Python
17,Python-V_BD,
18,Sistemas-operacionais-e-redes,
19,site-delicias-da-nanda,Hack
20,siteEmpresasDev,HTML
21,Udemy_JavaPOO,Java
22,Udemy_PHP,PHP
23,whatsapp-bulk-messenger,
24,14-Mini-Projetos-JS,JavaScript
25,Arthur-San,
26,Desenvolvimento-de-Aplicativos-I,Java
27,Desenvolvimento-de-Aplicativos-II,Dart
28,Desenvolvimento-de-sistemas-web-I,JavaScript
29,Desenvolvimento-de-sistemas-web-II,PHP
30,Desenvolvimento-de-sistemas-web-III,Java
31,JavaPOO,Java
32,JornadaBank,Java
33,ProjetoSistemaBancario,
34,psc_java,Java
35,Python-Automacao_I,Python
36,Python-Automacao_III-Selenium,Python
37,Python-I,Python
38,Python-III_POO,Python
39,Python-II_Modulos-e-PIP,Python
40,Python-IV_Manipulando_Arquivos,Python
41,Python-V_BD,
42,Sistemas-operacionais-e-redes,
43,site-delicias-da-nanda,Hack
44,siteEmpresasDev,HTML
45,Udemy_JavaPOO,Java
46,Udemy_PHP,PHP
47,whatsapp-bulk-messenger,
